t h
25.272373540856037 44.257495994506755
25.293736171511412 44.21744106202792
25.27504386968795 44.22507057297627
25.320439459830624 44.257495994506755
25.3044174868391 44.27275501640345
25.30708781567101 44.303273060196844
25.29907682917525 44.276569771877625
25.285725185015636 44.247959105821316
25.309758144502936 44.21744106202792
25.315098802166787 44.20790417334249
25.272373540856037 44.24605172808423
25.3044174868391 44.24986648355841
25.291065842679487 44.24414435034714
25.3044174868391 44.22316319523919
25.277714198519874 44.192645151445795
25.285725185015636 44.144960708018615
25.283054856183725 44.154497596704054
25.26436255436026 44.10109102006562
25.26169222552835 44.17547875181201
25.283054856183725 44.22507057297627
25.293736171511412 44.25940337224384
25.267032883192186 44.267032883192186
25.248340581368737 44.267032883192186
25.26169222552835 44.29755092698558
25.24567025253681 44.28419928282597
25.26436255436026 44.28610666056306
25.251010910200662 44.2059967956054
25.253681239032574 44.209811551079575
25.24567025253681 44.2651255054551
25.234988937209124 44.22316319523919
25.251010910200662 44.23460746166171
25.240329594872975 44.2212558175021
25.248340581368737 44.211718928816666
25.240329594872975 44.18883039597162
25.234988937209124 44.25940337224384
25.2323186083772 44.18692301823453
25.234988937209124 44.183108262760356
25.23765926604105 44.20790417334249
25.234988937209124 44.27275501640345
25.208285648889913 44.228885328450446
25.234988937209124 44.28801403830015
25.224307621881437 44.29182879377432
25.1949340047303 44.32806897077897
25.240329594872975 44.28992141603723
25.208285648889913 44.28610666056306
25.205615320057987 44.26131074998093
25.224307621881437 44.320439459830624
25.2323186083772 44.31662470435645
25.229648279545287 44.331883726253146
25.208285648889913 44.35667963683528
25.208285648889913 44.28229190508888
25.2189669642176 44.33379110399024
25.226977950713362 44.36430914778363
25.234988937209124 44.34523537041276
25.234988937209124 44.38529030289158
25.210955977721824 44.396734569314106
25.234988937209124 44.404364080262454
25.23765926604105 44.3833829251545
25.2189669642176 44.39482719157702
25.229648279545287 44.35286488136111
25.229648279545287 44.35477225909819
25.208285648889913 44.37193865873198
25.23765926604105 44.34332799267567
25.2189669642176 44.312809948882276
25.21362630655375 44.29945830472267
25.226977950713362 44.34523537041276
25.240329594872975 44.35477225909819
25.2323186083772 44.34332799267567
25.24567025253681 44.3242542153048
25.192263675898374 44.3242542153048
25.2189669642176 44.276569771877625
25.208285648889913 44.2803845273518
25.22163729304951 44.31662470435645
25.208285648889913 44.33569848172732
25.2189669642176 44.293736171511405
25.216296635385675 44.3089951934081
25.21362630655375 44.2803845273518
25.216296635385675 44.27275501640345
25.208285648889913 44.28229190508888
25.192263675898374 44.24605172808423
25.192263675898374 44.247959105821316
25.224307621881437 44.26131074998093
25.200274662394136 44.2803845273518
25.192263675898374 44.360494392309455
25.197604333562225 44.32806897077897
25.184252689402612 44.34714274814984
25.208285648889913 44.33569848172732
25.23765926604105 44.33379110399024
25.208285648889913 44.314717326619366
25.208285648889913 44.3089951934081
25.2189669642176 44.322346837567714
25.208285648889913 44.28992141603723
25.22163729304951 44.28229190508888
25.186923018234538 44.31662470435645
25.186923018234538 44.31662470435645
25.1949340047303 44.303273060196844
25.20294499122606 44.27847714961471
25.200274662394136 44.28419928282597
25.170901045243 44.257495994506755
25.197604333562225 44.274662394140535
25.181582360570687 44.25177386129549
25.160219729915312 44.2803845273518
25.157549401083386 44.27847714961471
25.192263675898374 44.27847714961471
25.192263675898374 44.34332799267567
25.200274662394136 44.38529030289158
25.208285648889913 44.36621652552071
